Value,Category,Acreage,Year,FIPS
33,Safflower,32.5,2007,16011
36,Alfalfa,77634.8,2007,16011
41,Sugarbeets,19581.5,2007,16011
42,Dry Beans,388.2,2007,16011
43,Potatoes,76190.3,2007,16011
47,Misc Vegs & Fruits,395.2,2007,16011
49,Onions,0.8,2007,16011
53,Peas,213.1,2007,16011
59,Sod/Grass Seed,89.1,2007,16011
61,Fallow/Idle Cropland,2279.8,2007,16011
87,Wetlands,41.8,2007,16011
111,Open Water,12164.7,2007,16011
121,Developed/Open Space,44210.8,2007,16011
122,Developed/Low Intensity,6265.2,2007,16011
123,Developed/Medium Intensity,1457.6,2007,16011
124,Developed/High Intensity,241,2007,16011
131,Barren,62647,2007,16011
141,Deciduous Forest,12394.9,2007,16011
142,Evergreen Forest,37992.9,2007,16011
143,Mixed Forest,5.4,2007,16011
152,Shrubland,719456.8,2007,16011
176,Grass/Pasture,108435.6,2007,16011
190,Woody Wetlands,32820.3,2007,16011
195,Herbaceous Wetlands,2025.6,2007,16011
1,Corn,1962.9,2007,16013
4,Sorghum,0.8,2007,16013
12,Sweet Corn,3.9,2007,16013
21,Barley,8372.3,2007,16013
22,Durum Wheat,4.6,2007,16013
23,Spring Wheat,1432.8,2007,16013
24,Winter Wheat,2457.3,2007,16013
25,Other Small Grains,4.6,2007,16013
28,Oats,559.5,2007,16013
31,Canola,3.9,2007,16013
32,Flaxseed,0.8,2007,16013
33,Safflower,23.2,2007,16013
36,Alfalfa,27529.1,2007,16013
41,Sugarbeets,1684.7,2007,16013
42,Dry Beans,307.6,2007,16013
43,Potatoes,2288.3,2007,16013
47,Misc Vegs & Fruits,0.8,2007,16013
53,Peas,249.5,2007,16013
59,Sod/Grass Seed,102.3,2007,16013
61,Fallow/Idle Cropland,544.8,2007,16013
87,Wetlands,4.6,2007,16013
111,Open Water,8194,2007,16013
112,Perennial Ice/Snow,1537.4,2007,16013
121,Developed/Open Space,15622.4,2007,16013
122,Developed/Low Intensity,6791.4,2007,16013
123,Developed/Medium Intensity,893.5,2007,16013
124,Developed/High Intensity,113.1,2007,16013
131,Barren,193081.8,2007,16013
141,Deciduous Forest,472.7,2007,16013
142,Evergreen Forest,309361.2,2007,16013
152,Shrubland,942504.1,2007,16013
176,Grass/Pasture,166967,2007,16013
190,Woody Wetlands,6826.3,2007,16013
195,Herbaceous Wetlands,2845.5,2007,16013
1,Corn,3.9,2007,16015
21,Barley,0.8,2007,16015
23,Spring Wheat,8.5,2007,16015
24,Winter Wheat,11.6,2007,16015
28,Oats,15.5,2007,16015
36,Alfalfa,488.2,2007,16015
42,Dry Beans,3.1,2007,16015
43,Potatoes,4.6,2007,16015
47,Misc Vegs & Fruits,0.8,2007,16015
61,Fallow/Idle Cropland,14.7,2007,16015
111,Open Water,2038,2007,16015
112,Perennial Ice/Snow,1402.6,2007,16015
121,Developed/Open Space,2306.2,2007,16015
122,Developed/Low Intensity,2046.6,2007,16015
123,Developed/Medium Intensity,124,2007,16015
124,Developed/High Intensity,4.6,2007,16015
131,Barren,1086.4,2007,16015
141,Deciduous Forest,3020.6,2007,16015
142,Evergreen Forest,674969.3,2007,16015
152,Shrubland,380775.6,2007,16015
176,Grass/Pasture,151818,2007,16015
190,Woody Wetlands,227.8,2007,16015
195,Herbaceous Wetlands,38.7,2007,16015
1,Corn,2.3,2007,16017
23,Spring Wheat,34.9,2007,16017
24,Winter Wheat,5.4,2007,16017
31,Canola,3.1,2007,16017
36,Alfalfa,279,2007,16017
52,Lentils,3.1,2007,16017
53,Peas,5.4,2007,16017
59,Sod/Grass Seed,12.4,2007,16017
61,Fallow/Idle Cropland,7.7,2007,16017
63,Forest,56.6,2007,16017
111,Open Water,117265,2007,16017
121,Developed/Open Space,4572.8,2007,16017
122,Developed/Low Intensity,8689.2,2007,16017
123,Developed/Medium Intensity,1318.1,2007,16017
124,Developed/High Intensity,139.5,2007,16017
131,Barren,18.6,2007,16017
141,Deciduous Forest,73.6,2007,16017
142,Evergreen Forest,971648.1,2007,16017
143,Mixed Forest,1.5,2007,16017
152,Shrubland,93491.2,2007,16017
176,Grass/Pasture,17526.4,2007,16017
190,Woody Wetlands,7481.1,2007,16017
195,Herbaceous Wetlands,5884.8,2007,16017
1,Corn,6149,2007,16019
4,Sorghum,1.5,2007,16019
12,Sweet Corn,36.4,2007,16019
21,Barley,55028,2007,16019
22,Durum Wheat,75.9,2007,16019
23,Spring Wheat,35058.2,2007,16019
24,Winter Wheat,15489.1,2007,16019
25,Other Small Grains,45.7,2007,16019
28,Oats,490.5,2007,16019
31,Canola,161.2,2007,16019
33,Safflower,81.4,2007,16019
36,Alfalfa,34923.4,2007,16019
41,Sugarbeets,17.8,2007,16019
42,Dry Beans,34.9,2007,16019
43,Potatoes,30066.2,2007,16019
47,Misc Vegs & Fruits,26.3,2007,16019
53,Peas,12.4,2007,16019
59,Sod/Grass Seed,4.6,2007,16019
61,Fallow/Idle Cropland,6678.3,2007,16019
87,Wetlands,17,2007,16019
111,Open Water,11235.6,2007,16019
121,Developed/Open Space,27502.7,2007,16019
122,Developed/Low Intensity,10886.1,2007,16019
123,Developed/Medium Intensity,2728.5,2007,16019
124,Developed/High Intensity,49.6,2007,16019
131,Barren,64020.2,2007,16019
141,Deciduous Forest,35320.9,2007,16019
142,Evergreen Forest,304991.4,2007,16019
143,Mixed Forest,86.8,2007,16019
152,Shrubland,455721.4,2007,16019
176,Grass/Pasture,94767.5,2007,16019
190,Woody Wetlands,5274.1,2007,16019
195,Herbaceous Wetlands,19337.4,2007,16019
21,Barley,3126,2007,16021
23,Spring Wheat,5286.5,2007,16021
24,Winter Wheat,9950,2007,16021
25,Other Small Grains,2.3,2007,16021
28,Oats,28.7,2007,16021
31,Canola,1552.2,2007,16021
36,Alfalfa,3296.5,2007,16021
42,Dry Beans,0.8,2007,16021
47,Misc Vegs & Fruits,0.8,2007,16021
52,Lentils,63.5,2007,16021
53,Peas,413,2007,16021
59,Sod/Grass Seed,835.4,2007,16021
61,Fallow/Idle Cropland,330.1,2007,16021
63,Forest,52.7,2007,16021
111,Open Water,5725.9,2007,16021
121,Developed/Open Space,5753,2007,16021
122,Developed/Low Intensity,3334.5,2007,16021
123,Developed/Medium Intensity,317.7,2007,16021
124,Developed/High Intensity,20.1,2007,16021
131,Barren,24,2007,16021
141,Deciduous Forest,187.5,2007,16021
142,Evergreen Forest,688730.3,2007,16021
152,Shrubland,57002.5,2007,16021
176,Grass/Pasture,24703,2007,16021
190,Woody Wetlands,1993.1,2007,16021
195,Herbaceous Wetlands,5101.3,2007,16021
1,Corn,171.3,2007,16023
12,Sweet Corn,1.5,2007,16023
21,Barley,12388.7,2007,16023
22,Durum Wheat,2.3,2007,16023
23,Spring Wheat,2077.6,2007,16023
24,Winter Wheat,869.5,2007,16023
25,Other Small Grains,25.6,2007,16023
27,Rye,0.8,2007,16023
28,Oats,1982.2,2007,16023
31,Canola,9.3,2007,16023
33,Safflower,47.3,2007,16023
36,Alfalfa,33788.1,2007,16023
41,Sugarbeets,3.9,2007,16023
42,Dry Beans,13.9,2007,16023
43,Potatoes,1954.4,2007,16023
47,Misc Vegs & Fruits,23.2,2007,16023
53,Peas,4.6,2007,16023
59,Sod/Grass Seed,15.5,2007,16023
61,Fallow/Idle Cropland,2357.3,2007,16023
111,Open Water,160.4,2007,16023
112,Perennial Ice/Snow,53.5,2007,16023
121,Developed/Open Space,8255.2,2007,16023
122,Developed/Low Intensity,6672.9,2007,16023
123,Developed/Medium Intensity,3056.3,2007,16023
124,Developed/High Intensity,43.4,2007,16023
131,Barren,118009,2007,16023
141,Deciduous Forest,69,2007,16023
142,Evergreen Forest,104395.9,2007,16023
143,Mixed Forest,1.5,2007,16023
152,Shrubland,984381.6,2007,16023
176,Grass/Pasture,147945,2007,16023
190,Woody Wetlands,299.9,2007,16023
195,Herbaceous Wetlands,391.3,2007,16023
1,Corn,3.1,2007,16025
12,Sweet Corn,0.8,2007,16025
21,Barley,4029.6,2007,16025
23,Spring Wheat,547.9,2007,16025
24,Winter Wheat,891.9,2007,16025
25,Other Small Grains,237.9,2007,16025
27,Rye,12.4,2007,16025
28,Oats,65.1,2007,16025
33,Safflower,11.6,2007,16025
36,Alfalfa,24082.2,2007,16025
43,Potatoes,60.4,2007,16025
59,Sod/Grass Seed,210.8,2007,16025
61,Fallow/Idle Cropland,703.6,2007,16025
111,Open Water,1660.7,2007,16025
112,Perennial Ice/Snow,26.3,2007,16025
121,Developed/Open Space,5555.4,2007,16025
122,Developed/Low Intensity,476.6,2007,16025
123,Developed/Medium Intensity,33.3,2007,16025
131,Barren,429.3,2007,16025
141,Deciduous Forest,27.1,2007,16025
142,Evergreen Forest,166758.5,2007,16025
152,Shrubland,281460.9,2007,16025
176,Grass/Pasture,201523.8,2007,16025
190,Woody Wetlands,1401.1,2007,16025
195,Herbaceous Wetlands,438.6,2007,16025
1,Corn,49405.1,2007,16027
6,Sunflowers,4.6,2007,16027
12,Sweet Corn,3892.4,2007,16027
21,Barley,1495.6,2007,16027
23,Spring Wheat,2744,2007,16027
24,Winter Wheat,19270,2007,16027
25,Other Small Grains,106.2,2007,16027
28,Oats,240.2,2007,16027
31,Canola,69.7,2007,16027
34,Rape Seed,20.9,2007,16027
36,Alfalfa,64537.8,2007,16027
41,Sugarbeets,7608.2,2007,16027
42,Dry Beans,11078.3,2007,16027
43,Potatoes,6214.1,2007,16027
44,Other Crops,5.4,2007,16027
47,Misc Vegs & Fruits,468.8,2007,16027
49,Onions,7246.3,2007,16027
52,Lentils,65.9,2007,16027
53,Peas,2317.8,2007,16027
56,Hops,737,2007,16027
57,Herbs,5876.2,2007,16027
58,Clover/Wildflowers,100,2007,16027
59,Sod/Grass Seed,754,2007,16027
61,Fallow/Idle Cropland,5237.7,2007,16027
63,Forest,4.6,2007,16027
67,Peaches,756.3,2007,16027
68,Apples,847,2007,16027
69,Grapes,27.9,2007,16027
71,Other Tree Crops,155.8,2007,16027
72,Citrus,12.4,2007,16027
111,Open Water,14547.6,2007,16027
121,Developed/Open Space,71438.5,2007,16027
122,Developed/Low Intensity,10590.9,2007,16027
123,Developed/Medium Intensity,946.2,2007,16027
124,Developed/High Intensity,3.9,2007,16027
141,Deciduous Forest,7.7,2007,16027
142,Evergreen Forest,463.4,2007,16027
152,Shrubland,9797.3,2007,16027
176,Grass/Pasture,84437.8,2007,16027
190,Woody Wetlands,210,2007,16027
195,Herbaceous Wetlands,2527.8,2007,16027
1,Corn,217,2007,16029
12,Sweet Corn,2.3,2007,16029
21,Barley,47322.1,2007,16029
22,Durum Wheat,2.3,2007,16029
23,Spring Wheat,14858.4,2007,16029
24,Winter Wheat,17146.7,2007,16029
25,Other Small Grains,61.2,2007,16029
28,Oats,268.1,2007,16029
31,Canola,6.2,2007,16029
33,Safflower,13.2,2007,16029
36,Alfalfa,21608.7,2007,16029
41,Sugarbeets,0.8,2007,16029
42,Dry Beans,7.7,2007,16029
43,Potatoes,8197.1,2007,16029
47,Misc Vegs & Fruits,0.8,2007,16029
53,Peas,357.2,2007,16029
59,Sod/Grass Seed,147.2,2007,16029
61,Fallow/Idle Cropland,6333.4,2007,16029
111,Open Water,15942.5,2007,16029
121,Developed/Open Space,16102.9,2007,16029
122,Developed/Low Intensity,2021.8,2007,16029
123,Developed/Medium Intensity,554.1,2007,16029
124,Developed/High Intensity,77.5,2007,16029
131,Barren,205.4,2007,16029
141,Deciduous Forest,47433,2007,16029
142,Evergreen Forest,291937.8,2007,16029
143,Mixed Forest,461.1,2007,16029
152,Shrubland,539368.8,2007,16029
176,Grass/Pasture,103485.4,2007,16029
190,Woody Wetlands,2916,2007,16029
195,Herbaceous Wetlands,14016,2007,16029
1,Corn,30789.2,2007,16031
4,Sorghum,20.9,2007,16031
12,Sweet Corn,237.1,2007,16031
13,Pop or Orn Corn,4.6,2007,16031
21,Barley,30794.6,2007,16031
22,Durum Wheat,7,2007,16031
23,Spring Wheat,13004,2007,16031
24,Winter Wheat,49109.1,2007,16031
25,Other Small Grains,2307.7,2007,16031
27,Rye,0.8,2007,16031
28,Oats,1955.9,2007,16031
31,Canola,6.2,2007,16031
33,Safflower,133.3,2007,16031
36,Alfalfa,76992.4,2007,16031
41,Sugarbeets,26565.1,2007,16031
42,Dry Beans,11251.1,2007,16031
43,Potatoes,32724.2,2007,16031
47,Misc Vegs & Fruits,43.4,2007,16031
49,Onions,3.9,2007,16031
53,Peas,160.4,2007,16031
59,Sod/Grass Seed,20.9,2007,16031
61,Fallow/Idle Cropland,13108.6,2007,16031
87,Wetlands,7,2007,16031
111,Open Water,9103,2007,16031
112,Perennial Ice/Snow,3.1,2007,16031
121,Developed/Open Space,49288.9,2007,16031
122,Developed/Low Intensity,4455,2007,16031
123,Developed/Medium Intensity,727.7,2007,16031
124,Developed/High Intensity,10.1,2007,16031
131,Barren,508.3,2007,16031
141,Deciduous Forest,6321.8,2007,16031
142,Evergreen Forest,85945,2007,16031
143,Mixed Forest,5.4,2007,16031
152,Shrubland,941527.7,2007,16031
176,Grass/Pasture,261078.1,2007,16031
190,Woody Wetlands,2835.4,2007,16031
195,Herbaceous Wetlands,333.2,2007,16031
1,Corn,216.2,2007,16033
4,Sorghum,2.3,2007,16033
12,Sweet Corn,15.5,2007,16033
21,Barley,5062.6,2007,16033
22,Durum Wheat,0.8,2007,16033
23,Spring Wheat,2492.9,2007,16033
24,Winter Wheat,1055.4,2007,16033
25,Other Small Grains,13.9,2007,16033
28,Oats,118.6,2007,16033
31,Canola,10.1,2007,16033
33,Safflower,10.8,2007,16033
36,Alfalfa,25889.4,2007,16033
41,Sugarbeets,1.5,2007,16033
42,Dry Beans,12.4,2007,16033
43,Potatoes,4125.7,2007,16033
47,Misc Vegs & Fruits,14.7,2007,16033
53,Peas,6.2,2007,16033
59,Sod/Grass Seed,3.1,2007,16033
61,Fallow/Idle Cropland,1554.5,2007,16033
87,Wetlands,55.8,2007,16033
111,Open Water,217,2007,16033
112,Perennial Ice/Snow,0.8,2007,16033
121,Developed/Open Space,7904.2,2007,16033
122,Developed/Low Intensity,1418.9,2007,16033
123,Developed/Medium Intensity,513,2007,16033
124,Developed/High Intensity,1.5,2007,16033
131,Barren,2740.9,2007,16033
141,Deciduous Forest,65.1,2007,16033
142,Evergreen Forest,176290.1,2007,16033
143,Mixed Forest,13.2,2007,16033
152,Shrubland,697931,2007,16033
176,Grass/Pasture,190465.7,2007,16033
190,Woody Wetlands,395.2,2007,16033
195,Herbaceous Wetlands,11014,2007,16033
1,Corn,3.9,2007,16035
21,Barley,1473.9,2007,16035
23,Spring Wheat,2785.8,2007,16035
24,Winter Wheat,8429.6,2007,16035
28,Oats,41.8,2007,16035
31,Canola,170.5,2007,16035
34,Rape Seed,20.1,2007,16035
36,Alfalfa,102.3,2007,16035
41,Sugarbeets,0.8,2007,16035
42,Dry Beans,1475.5,2007,16035
47,Misc Vegs & Fruits,1.5,2007,16035
49,Onions,3.9,2007,16035
52,Lentils,243.3,2007,16035
53,Peas,107.7,2007,16035
57,Herbs,1.5,2007,16035
58,Clover/Wildflowers,4.6,2007,16035
59,Sod/Grass Seed,716,2007,16035
61,Fallow/Idle Cropland,103.1,2007,16035
63,Forest,87.6,2007,16035
87,Wetlands,25.6,2007,16035
111,Open Water,15524.8,2007,16035
121,Developed/Open Space,4640.2,2007,16035
122,Developed/Low Intensity,1485.5,2007,16035
123,Developed/Medium Intensity,240.2,2007,16035
124,Developed/High Intensity,17.8,2007,16035
131,Barren,719.1,2007,16035
141,Deciduous Forest,389.8,2007,16035
142,Evergreen Forest,1122489.7,2007,16035
143,Mixed Forest,62,2007,16035
152,Shrubland,406349.6,2007,16035
176,Grass/Pasture,24389.1,2007,16035
190,Woody Wetlands,165.1,2007,16035
195,Herbaceous Wetlands,56.6,2007,16035
1,Corn,93.8,2007,16037
12,Sweet Corn,0.8,2007,16037
21,Barley,1446,2007,16037
22,Durum Wheat,0.8,2007,16037
23,Spring Wheat,766.4,2007,16037
24,Winter Wheat,67.4,2007,16037
25,Other Small Grains,10.8,2007,16037
28,Oats,703.6,2007,16037
31,Canola,3.9,2007,16037
33,Safflower,17.8,2007,16037
36,Alfalfa,18347.8,2007,16037
41,Sugarbeets,31,2007,16037
42,Dry Beans,6.2,2007,16037
43,Potatoes,760.2,2007,16037
47,Misc Vegs & Fruits,3.9,2007,16037
53,Peas,3.1,2007,16037
61,Fallow/Idle Cropland,313.8,2007,16037
87,Wetlands,7.7,2007,16037
111,Open Water,4887.4,2007,16037
112,Perennial Ice/Snow,8473,2007,16037
121,Developed/Open Space,6899.9,2007,16037
122,Developed/Low Intensity,6425.7,2007,16037
123,Developed/Medium Intensity,3350,2007,16037
124,Developed/High Intensity,44.9,2007,16037
131,Barren,76770,2007,16037
141,Deciduous Forest,64.3,2007,16037
142,Evergreen Forest,1171873.9,2007,16037
143,Mixed Forest,7,2007,16037
152,Shrubland,1407003,2007,16037
176,Grass/Pasture,437798.3,2007,16037
190,Woody Wetlands,4911.5,2007,16037
195,Herbaceous Wetlands,8363,2007,16037
1,Corn,10077.1,2007,16039
4,Sorghum,3.9,2007,16039
12,Sweet Corn,657.9,2007,16039
13,Pop or Orn Corn,0.8,2007,16039
21,Barley,847,2007,16039
23,Spring Wheat,1208.9,2007,16039
24,Winter Wheat,7259.5,2007,16039
25,Other Small Grains,145.7,2007,16039
27,Rye,6923.9,2007,16039
28,Oats,980.3,2007,16039
36,Alfalfa,30094.1,2007,16039
41,Sugarbeets,8535,2007,16039
42,Dry Beans,538.6,2007,16039
43,Potatoes,7720.5,2007,16039
47,Misc Vegs & Fruits,1.5,2007,16039
53,Peas,9.3,2007,16039
57,Herbs,1391.8,2007,16039
61,Fallow/Idle Cropland,3792.5,2007,16039
87,Wetlands,2.3,2007,16039
111,Open Water,11464.2,2007,16039
112,Perennial Ice/Snow,717.6,2007,16039
121,Developed/Open Space,23205.8,2007,16039
122,Developed/Low Intensity,6720.9,2007,16039
123,Developed/Medium Intensity,3273.3,2007,16039
124,Developed/High Intensity,570.3,2007,16039
131,Barren,1255.4,2007,16039
141,Deciduous Forest,7.7,2007,16039
142,Evergreen Forest,387459.3,2007,16039
152,Shrubland,741252.2,2007,16039
176,Grass/Pasture,726027.3,2007,16039
190,Woody Wetlands,1637.4,2007,16039
195,Herbaceous Wetlands,538.6,2007,16039
1,Corn,3093.5,2007,16041
4,Sorghum,2.3,2007,16041
12,Sweet Corn,10.1,2007,16041
21,Barley,3061.7,2007,16041
22,Durum Wheat,1.5,2007,16041
23,Spring Wheat,2199.2,2007,16041
24,Winter Wheat,14734.4,2007,16041
25,Other Small Grains,192.2,2007,16041
27,Rye,2.3,2007,16041
28,Oats,213.9,2007,16041
31,Canola,1.5,2007,16041
32,Flaxseed,2.3,2007,16041
33,Safflower,1002,2007,16041
36,Alfalfa,36120.7,2007,16041
41,Sugarbeets,21.7,2007,16041
42,Dry Beans,191.4,2007,16041
43,Potatoes,1835,2007,16041
53,Peas,13.9,2007,16041
59,Sod/Grass Seed,64.3,2007,16041
61,Fallow/Idle Cropland,4133.4,2007,16041
87,Wetlands,8.5,2007,16041
111,Open Water,1941.2,2007,16041
121,Developed/Open Space,14691.7,2007,16041
122,Developed/Low Intensity,1404.2,2007,16041
123,Developed/Medium Intensity,42.6,2007,16041
124,Developed/High Intensity,0.8,2007,16041
131,Barren,61.2,2007,16041
141,Deciduous Forest,38272.6,2007,16041
142,Evergreen Forest,63642.8,2007,16041
143,Mixed Forest,514.5,2007,16041
152,Shrubland,188559.4,2007,16041
176,Grass/Pasture,44389.8,2007,16041
190,Woody Wetlands,5083.5,2007,16041
195,Herbaceous Wetlands,2235.6,2007,16041
1,Corn,877.2,2007,16043
12,Sweet Corn,7.7,2007,16043
21,Barley,51383.5,2007,16043
22,Durum Wheat,754.8,2007,16043
23,Spring Wheat,26425.6,2007,16043
24,Winter Wheat,1522.7,2007,16043
25,Other Small Grains,1.5,2007,16043
28,Oats,76.7,2007,16043
31,Canola,484.3,2007,16043
33,Safflower,14.7,2007,16043
36,Alfalfa,17964.2,2007,16043
41,Sugarbeets,1.5,2007,16043
42,Dry Beans,3.1,2007,16043
43,Potatoes,28676.8,2007,16043
47,Misc Vegs & Fruits,124.8,2007,16043
53,Peas,101.5,2007,16043
59,Sod/Grass Seed,2.3,2007,16043
61,Fallow/Idle Cropland,161.2,2007,16043
87,Wetlands,8.5,2007,16043
111,Open Water,15383,2007,16043
121,Developed/Open Space,13369.7,2007,16043
122,Developed/Low Intensity,1881.5,2007,16043
123,Developed/Medium Intensity,126.3,2007,16043
124,Developed/High Intensity,0.8,2007,16043
131,Barren,9438.5,2007,16043
141,Deciduous Forest,5701.9,2007,16043
142,Evergreen Forest,419989.8,2007,16043
143,Mixed Forest,14.7,2007,16043
152,Shrubland,532217.1,2007,16043
176,Grass/Pasture,64591.3,2007,16043
190,Woody Wetlands,8687.6,2007,16043
195,Herbaceous Wetlands,13166.7,2007,16043
1,Corn,4179.2,2007,16045
12,Sweet Corn,79,2007,16045
21,Barley,240.2,2007,16045
23,Spring Wheat,40.3,2007,16045
24,Winter Wheat,2471.2,2007,16045
25,Other Small Grains,15.5,2007,16045
28,Oats,92.2,2007,16045
36,Alfalfa,16163.3,2007,16045
41,Sugarbeets,146.5,2007,16045
42,Dry Beans,337.9,2007,16045
43,Potatoes,31.8,2007,16045
47,Misc Vegs & Fruits,5.4,2007,16045
49,Onions,49.6,2007,16045
53,Peas,27.9,2007,16045
56,Hops,0.8,2007,16045
57,Herbs,126.3,2007,16045
58,Clover/Wildflowers,13.2,2007,16045
59,Sod/Grass Seed,8.5,2007,16045
