State,Variety,start,end,obs,yrs,longest_run,longest_missing,complete
Washington,Warrior YCR 5,2001,2022,17,22,14,5,FALSE
Washington,Other Alpha,2002,2002,1,1,1,0,FALSE
Washington,Other Aroma,2002,2002,1,1,1,0,FALSE
Washington,Northern Brewer,2003,2015,9,13,7,4,FALSE
Washington,Ahtanum YCR 1,2005,2022,14,18,11,4,FALSE
Washington,Centennial,2005,2022,16,18,15,2,FALSE
Washington,Glacier,2005,2016,12,12,12,0,FALSE
Washington,Palisade YCR 4,2005,2022,18,18,18,0,FALSE
Washington,Sterling,2005,2006,2,2,2,0,FALSE
Washington,Summit,2006,2021,12,16,10,4,FALSE
Washington,Simcoe YCR 14,2008,2022,15,15,15,0,FALSE
Washington,Super Galena,2008,2022,15,15,15,0,FALSE
Washington,Apollo,2010,2022,13,13,13,0,FALSE
Washington,Bravo,2010,2022,13,13,13,0,FALSE
Washington,Citra HBC 394,2010,2022,13,13,13,0,FALSE
Washington,Crystal,2012,2019,8,8,8,0,FALSE
Washington,El Dorado,2013,2022,10,10,10,0,FALSE
Washington,Experimental,2013,2022,10,10,10,0,FALSE
Washington,Mosaic HBC 369,2013,2022,10,10,10,0,FALSE
Washington,Azacca ADHA-483,2014,2022,9,9,9,0,FALSE
Washington,Jarrylo ADHA-881,2014,2020,4,7,3,3,FALSE
Washington,Other Varieties,2014,2022,9,9,9,0,FALSE
Washington,Comet,2015,2022,8,8,8,0,FALSE
Washington,Amarillo VGXP01,2017,2022,6,6,6,0,FALSE
Washington,Ekuanot HBC 366,2017,2022,6,6,6,0,FALSE
Washington,Eureka!,2017,2022,6,6,6,0,FALSE
Washington,Loral HBC 291,2017,2022,6,6,6,0,FALSE
Washington,Tahoma,2017,2022,6,6,6,0,FALSE
Washington,Cashmere,2018,2022,5,5,5,0,FALSE
Washington,Mt. Rainier,2018,2022,4,5,3,1,FALSE
Washington,Pahto HBC 682,2018,2022,5,5,5,0,FALSE
Washington,Pekko ADHA-871,2018,2022,4,5,3,1,FALSE
Washington,Sorachi Ace,2018,2018,1,1,1,0,FALSE
Washington,Columbus/Tomahawk/Zeus,2019,2022,4,4,4,0,FALSE
Washington,Idaho 7,2019,2021,3,3,3,0,FALSE
Washington,Sabro HBC 438,2019,2022,4,4,4,0,FALSE
Washington,Calypso,2021,2021,1,1,1,0,FALSE
Washington,Talus HBC 692,2022,2022,1,1,1,0,FALSE
Washington,Zappa,2022,2022,1,1,1,0,FALSE
