Variety,Yield,Year,State,Source,outlier
CASCADE,1680,2010,Oregon,HGA 12.pdf,FALSE
CASCADE,1616,2011,Oregon,HGA 11.pdf,FALSE
CASCADE,1802,2012,Oregon,HGA 10.pdf,FALSE
CASCADE,1483,2013,Oregon,HGA 9.pdf,FALSE
CASCADE,1402,2014,Oregon,HGA 6.pdf,FALSE
CASCADE,1994,2015,Oregon,HGA 5.pdf,TRUE
CASCADE,1597,2016,Oregon,HGA 76.pdf,FALSE
CASCADE,1425,2017,Oregon,HGA 105.pdf,FALSE
CASCADE,1623,2018,Oregon,HGA 168.pdf,FALSE
CASCADE,1620,2019,Oregon,HGA 273.pdf,FALSE
CASCADE,1639,2020,Oregon,HGA 346.pdf,FALSE
CASCADE,1595,2021,Oregon,HGA 405.pdf,FALSE
CASCADE,1578,2022,Oregon,HGA 435.pdf,FALSE
CASCADE,1633,2023,Oregon,NASS,FALSE
CASCADE,1634,2024,Oregon,NASS,FALSE
CASCADE,1806,2000,Washington,HGA 22.pdf,FALSE
CASCADE,1785,2001,Washington,HGA 21.pdf,FALSE
CASCADE,1748,2002,Washington,HGA 20.pdf,FALSE
CASCADE,1808,2003,Washington,HGA 19.pdf,FALSE
CASCADE,2006,2004,Washington,HGA 18.pdf,FALSE
CASCADE,2036,2005,Washington,HGA 17.pdf,FALSE
CASCADE,1954,2006,Washington,HGA 16.pdf,FALSE
CASCADE,2031,2007,Washington,HGA 15.pdf,FALSE
CASCADE,1781,2008,Washington,HGA 14.pdf,FALSE
CASCADE,2120,2009,Washington,HGA 13.pdf,FALSE
CASCADE,1905,2010,Washington,HGA 12.pdf,FALSE
CASCADE,1955,2011,Washington,HGA 11.pdf,FALSE
CASCADE,1854,2012,Washington,HGA 10.pdf,FALSE
CASCADE,1723,2013,Washington,HGA 9.pdf,FALSE
CASCADE,1824,2014,Washington,HGA 6.pdf,FALSE
CASCADE,1936,2015,Washington,HGA 5.pdf,FALSE
CASCADE,1727,2016,Washington,HGA 76.pdf,FALSE
CASCADE,2124,2017,Washington,HGA 105.pdf,FALSE
CASCADE,1972,2018,Washington,HGA 168.pdf,FALSE
CASCADE,1920,2019,Washington,HGA 273.pdf,FALSE
CASCADE,1551,2020,Washington,HGA 346.pdf,FALSE
CASCADE,1585,2021,Washington,HGA 405.pdf,FALSE
CASCADE,1477,2022,Washington,HGA 435.pdf,TRUE
CASCADE,1957,2023,Washington,NASS,FALSE
CASCADE,1839,2024,Washington,NASS,FALSE
CASHMERE,1578,2020,Idaho,HGA 346.pdf,FALSE
CASHMERE,1828,2021,Idaho,HGA 405.pdf,FALSE
CASHMERE,1622,2022,Idaho,HGA 435.pdf,FALSE
CASHMERE,1321,2023,Idaho,NASS,FALSE
CASHMERE,1519,2018,Washington,HGA 168.pdf,FALSE
CASHMERE,1699,2019,Washington,HGA 273.pdf,FALSE
CASHMERE,1514,2020,Washington,HGA 346.pdf,FALSE
CASHMERE,1395,2021,Washington,HGA 405.pdf,FALSE
CASHMERE,1521,2022,Washington,HGA 435.pdf,FALSE
CASHMERE,1949,2023,Washington,NASS,FALSE
CASHMERE,1695,2024,Washington,NASS,FALSE
CENTENNIAL,1004,2013,Idaho,HGA 9.pdf,FALSE
CENTENNIAL,754,2014,Idaho,HGA 6.pdf,FALSE
CENTENNIAL,2028,2017,Idaho,HGA 105.pdf,FALSE
CENTENNIAL,1779,2012,Oregon,HGA 10.pdf,FALSE
CENTENNIAL,1585,2013,Oregon,HGA 9.pdf,FALSE
CENTENNIAL,1095,2014,Oregon,HGA 6.pdf,FALSE
CENTENNIAL,1352,2015,Oregon,HGA 5.pdf,FALSE
CENTENNIAL,1235,2016,Oregon,HGA 76.pdf,FALSE
CENTENNIAL,1273,2017,Oregon,HGA 105.pdf,FALSE
CENTENNIAL,1277,2018,Oregon,HGA 168.pdf,FALSE
CENTENNIAL,1661,2019,Oregon,HGA 273.pdf,FALSE
CENTENNIAL,1675,2020,Oregon,HGA 346.pdf,FALSE
CENTENNIAL,1384,2021,Oregon,HGA 405.pdf,FALSE
CENTENNIAL,1575,2022,Oregon,HGA 435.pdf,FALSE
CENTENNIAL,1057,2023,Oregon,NASS,FALSE
CENTENNIAL,1459,2024,Oregon,NASS,FALSE
CENTENNIAL,1375,2005,Washington,HGA 17.pdf,FALSE
CENTENNIAL,1452,2008,Washington,HGA 14.pdf,FALSE
CENTENNIAL,1490,2009,Washington,HGA 13.pdf,FALSE
CENTENNIAL,1791,2010,Washington,HGA 12.pdf,FALSE
CENTENNIAL,1403,2011,Washington,HGA 11.pdf,FALSE
CENTENNIAL,1354,2012,Washington,HGA 10.pdf,FALSE
CENTENNIAL,1554,2013,Washington,HGA 9.pdf,FALSE
CENTENNIAL,1347,2014,Washington,HGA 6.pdf,FALSE
CENTENNIAL,1145,2015,Washington,HGA 5.pdf,FALSE
CENTENNIAL,1355,2016,Washington,HGA 76.pdf,FALSE
CENTENNIAL,1703,2017,Washington,HGA 105.pdf,FALSE
CENTENNIAL,1364,2018,Washington,HGA 168.pdf,FALSE
CENTENNIAL,1820,2019,Washington,HGA 273.pdf,FALSE
CENTENNIAL,1640,2020,Washington,HGA 346.pdf,FALSE
CENTENNIAL,1585,2021,Washington,HGA 405.pdf,FALSE
CENTENNIAL,1464,2022,Washington,HGA 435.pdf,FALSE
CENTENNIAL,1191,2023,Washington,NASS,FALSE
CENTENNIAL,1621,2024,Washington,NASS,FALSE
CHELAN,1809,2001,Washington,HGA 21.pdf,FALSE
CHELAN,2211,2002,Washington,HGA 20.pdf,FALSE
CHELAN,2545,2003,Washington,HGA 19.pdf,FALSE
CHELAN,2482,2004,Washington,HGA 18.pdf,FALSE
CHELAN,2244,2005,Washington,HGA 17.pdf,FALSE
CHELAN,2187,2006,Washington,HGA 16.pdf,FALSE
CHELAN,2364,2007,Washington,HGA 15.pdf,FALSE
CHELAN,2178,2008,Washington,HGA 14.pdf,FALSE
CHELAN,2680,2009,Washington,HGA 13.pdf,FALSE
CHINOOK,2000,2000,Idaho,HGA 22.pdf,FALSE
CHINOOK,1801,2013,Idaho,HGA 9.pdf,FALSE
CHINOOK,1673,2014,Idaho,HGA 6.pdf,FALSE
CHINOOK,1850,2015,Idaho,HGA 5.pdf,FALSE
CHINOOK,1712,2016,Idaho,HGA 76.pdf,FALSE
CHINOOK,1665,2017,Idaho,HGA 105.pdf,FALSE
CHINOOK,1873,2018,Idaho,HGA 168.pdf,FALSE
CHINOOK,2215,2019,Idaho,HGA 273.pdf,FALSE
CHINOOK,1614,2020,Idaho,HGA 346.pdf,FALSE
CHINOOK,2104,2021,Idaho,HGA 405.pdf,FALSE
CHINOOK,1467,2022,Idaho,HGA 435.pdf,FALSE
CHINOOK,2047,2023,Idaho,NASS,FALSE
CHINOOK,1903,2024,Idaho,NASS,FALSE
CHINOOK,1860,2015,Oregon,NASS,FALSE
CHINOOK,1675,2016,Oregon,HGA 76.pdf,FALSE
CHINOOK,1667,2017,Oregon,HGA 105.pdf,FALSE
CHINOOK,1674,2018,Oregon,HGA 168.pdf,FALSE
CHINOOK,1733,2019,Oregon,HGA 273.pdf,FALSE
CHINOOK,1481,2020,Oregon,HGA 346.pdf,FALSE
CHINOOK,1794,2021,Oregon,HGA 405.pdf,FALSE
CHINOOK,1543,2022,Oregon,HGA 435.pdf,FALSE
CHINOOK,1453,2023,Oregon,NASS,FALSE
CHINOOK,1510,2024,Oregon,NASS,FALSE
CHINOOK,1957,2000,Washington,HGA 22.pdf,FALSE
CHINOOK,1717,2001,Washington,HGA 21.pdf,FALSE
CHINOOK,1902,2002,Washington,HGA 20.pdf,FALSE
CHINOOK,1903,2003,Washington,HGA 19.pdf,FALSE
CHINOOK,1900,2004,Washington,HGA 18.pdf,FALSE
CHINOOK,1844,2005,Washington,HGA 17.pdf,FALSE
CHINOOK,1871,2006,Washington,HGA 16.pdf,FALSE
CHINOOK,1818,2007,Washington,HGA 15.pdf,FALSE
CHINOOK,1775,2008,Washington,HGA 14.pdf,FALSE
CHINOOK,1819,2009,Washington,HGA 13.pdf,FALSE
CHINOOK,1963,2010,Washington,HGA 12.pdf,FALSE
CHINOOK,1718,2011,Washington,HGA 11.pdf,FALSE
CHINOOK,1699,2012,Washington,HGA 10.pdf,FALSE
CHINOOK,1987,2013,Washington,HGA 9.pdf,FALSE
CHINOOK,1815,2014,Washington,HGA 6.pdf,FALSE
CHINOOK,1793,2015,Washington,HGA 5.pdf,FALSE
CHINOOK,1420,2016,Washington,HGA 76.pdf,TRUE
CHINOOK,1784,2017,Washington,HGA 105.pdf,FALSE
CHINOOK,1875,2018,Washington,HGA 168.pdf,FALSE
CHINOOK,1942,2019,Washington,HGA 273.pdf,FALSE
CHINOOK,1665,2020,Washington,HGA 346.pdf,FALSE
CHINOOK,1851,2021,Washington,HGA 405.pdf,FALSE
CHINOOK,1335,2022,Washington,HGA 435.pdf,TRUE
CHINOOK,1812,2023,Washington,NASS,FALSE
CHINOOK,1722,2024,Washington,NASS,FALSE
CITRA HBC 394,1011,2013,Idaho,HGA 9.pdf,FALSE
CITRA HBC 394,1200,2014,Idaho,HGA 6.pdf,FALSE
CITRA HBC 394,1271,2015,Idaho,HGA 5.pdf,FALSE
CITRA HBC 394,1213,2016,Idaho,HGA 76.pdf,FALSE
CITRA HBC 394,1657,2017,Idaho,HGA 105.pdf,FALSE
CITRA HBC 394,1438,2018,Idaho,NASS,FALSE
CITRA HBC 394,1532,2019,Idaho,HGA 273.pdf,FALSE
CITRA HBC 394,1686,2020,Idaho,HGA 346.pdf,FALSE
CITRA HBC 394,1413,2021,Idaho,HGA 405.pdf,FALSE
CITRA HBC 394,1515,2022,Idaho,HGA 435.pdf,FALSE
CITRA HBC 394,1581,2023,Idaho,NASS,FALSE
CITRA HBC 394,1579,2024,Idaho,NASS,FALSE
CITRA HBC 394,980,2015,Oregon,HGA 5.pdf,TRUE
CITRA HBC 394,1047,2016,Oregon,HGA 76.pdf,FALSE
CITRA HBC 394,1475,2017,Oregon,HGA 105.pdf,FALSE
CITRA HBC 394,1600,2018,Oregon,HGA 168.pdf,FALSE
CITRA HBC 394,1476,2019,Oregon,HGA 273.pdf,FALSE
CITRA HBC 394,1506,2020,Oregon,HGA 346.pdf,FALSE
CITRA HBC 394,1414,2021,Oregon,HGA 405.pdf,FALSE
CITRA HBC 394,1562,2022,Oregon,HGA 435.pdf,FALSE
CITRA HBC 394,1290,2023,Oregon,NASS,FALSE
CITRA HBC 394,1698,2024,Oregon,NASS,FALSE
CITRA HBC 394,1930,2010,Washington,HGA 12.pdf,TRUE
CITRA HBC 394,1812,2011,Washington,HGA 11.pdf,TRUE
CITRA HBC 394,1342,2012,Washington,HGA 10.pdf,FALSE
CITRA HBC 394,1405,2013,Washington,HGA 9.pdf,FALSE
CITRA HBC 394,1570,2014,Washington,HGA 6.pdf,FALSE
CITRA HBC 394,1541,2015,Washington,HGA 5.pdf,FALSE
CITRA HBC 394,1543,2016,Washington,HGA 76.pdf,FALSE
CITRA HBC 394,1748,2017,Washington,HGA 105.pdf,FALSE
CITRA HBC 394,1611,2018,Washington,HGA 168.pdf,FALSE
CITRA HBC 394,1424,2019,Washington,HGA 273.pdf,FALSE
CITRA HBC 394,1526,2020,Washington,HGA 346.pdf,FALSE
CITRA HBC 394,1580,2021,Washington,HGA 405.pdf,FALSE
CITRA HBC 394,1365,2022,Washington,HGA 435.pdf,FALSE
CITRA HBC 394,1585,2023,Washington,NASS,FALSE
CITRA HBC 394,1573,2024,Washington,NASS,FALSE
CLUSTER,1943,2000,Idaho,HGA 22.pdf,FALSE
CLUSTER,1553,2001,Idaho,HGA 21.pdf,FALSE
CLUSTER,2126,2018,Idaho,HGA 168.pdf,FALSE
CLUSTER,1997,2000,Washington,HGA 22.pdf,FALSE
CLUSTER,1958,2001,Washington,HGA 21.pdf,FALSE
CLUSTER,1996,2002,Washington,HGA 20.pdf,FALSE
CLUSTER,2003,2003,Washington,HGA 19.pdf,FALSE
CLUSTER,2034,2004,Washington,HGA 18.pdf,FALSE
CLUSTER,1782,2005,Washington,HGA 17.pdf,FALSE
CLUSTER,2184,2006,Washington,HGA 16.pdf,FALSE
CLUSTER,2030,2007,Washington,HGA 15.pdf,FALSE
CLUSTER,2038,2008,Washington,HGA 14.pdf,FALSE
CLUSTER,2370,2009,Washington,HGA 13.pdf,TRUE
CLUSTER,2060,2010,Washington,HGA 12.pdf,FALSE
CLUSTER,2019,2011,Washington,HGA 11.pdf,FALSE
CLUSTER,1965,2012,Washington,HGA 10.pdf,FALSE
CLUSTER,1948,2013,Washington,HGA 9.pdf,FALSE
CLUSTER,1825,2014,Washington,HGA 6.pdf,FALSE
CLUSTER,1705,2015,Washington,HGA 5.pdf,FALSE
CLUSTER,1700,2016,Washington,HGA 76.pdf,FALSE
CLUSTER,1937,2017,Washington,HGA 105.pdf,FALSE
CLUSTER,1813,2018,Washington,HGA 168.pdf,FALSE
CLUSTER,1815,2019,Washington,HGA 273.pdf,FALSE
CLUSTER,2065,2020,Washington,HGA 346.pdf,FALSE
CLUSTER,2016,2021,Washington,HGA 405.pdf,FALSE
CLUSTER,1505,2022,Washington,HGA 435.pdf,FALSE
CLUSTER,1722,2023,Washington,NASS,FALSE
CLUSTER,1855,2024,Washington,NASS,FALSE
COLUMBUS/TOMAHAWK,2564,2000,Washington,HGA 22.pdf,FALSE
COLUMBUS/TOMAHAWK,2493,2001,Washington,HGA 21.pdf,FALSE
COLUMBUS/TOMAHAWK,2876,2002,Washington,HGA 20.pdf,TRUE
COLUMBUS/TOMAHAWK,2745,2003,Washington,HGA 19.pdf,FALSE
COLUMBUS/TOMAHAWK,2557,2004,Washington,HGA 18.pdf,FALSE
COLUMBUS/TOMAHAWK,2516,2005,Washington,HGA 17.pdf,FALSE
COLUMBUS/TOMAHAWK,2660,2006,Washington,HGA 16.pdf,FALSE
COLUMBUS/TOMAHAWK,2533,2007,Washington,HGA 15.pdf,FALSE
COLUMBUS/TOMAHAWK,2585,2008,Washington,HGA 14.pdf,FALSE
COLUMBUS/TOMAHAWK,2790,2009,Washington,HGA 13.pdf,FALSE
COLUMBUS/TOMAHAWK,2350,2010,Washington,HGA 12.pdf,FALSE
COLUMBUS/TOMAHAWK,2519,2011,Washington,HGA 11.pdf,FALSE
COLUMBUS/TOMAHAWK,2280,2012,Washington,HGA 10.pdf,TRUE
COLUMBUS/TOMAHAWK,2571,2013,Washington,HGA 9.pdf,FALSE
COLUMBUS/TOMAHAWK,2629,2014,Washington,HGA 6.pdf,FALSE
COLUMBUS/TOMAHAWK,2524,2015,Washington,HGA 5.pdf,FALSE
COLUMBUS/TOMAHAWK,1969,2016,Washington,HGA 76.pdf,TRUE
COLUMBUS/TOMAHAWK,2646,2017,Washington,HGA 105.pdf,FALSE
COLUMBUS/TOMAHAWK,2482,2018,Washington,HGA 168.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,3002,2019,Idaho,HGA 273.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2673,2020,Idaho,HGA 346.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,3169,2021,Idaho,HGA 405.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,3027,2022,Idaho,HGA 435.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2638,2023,Idaho,NASS,FALSE
COLUMBUS/TOMAHAWK/ZEUS,3336,2024,Idaho,NASS,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2571,2013,Washington,NASS,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2629,2014,Washington,NASS,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2524,2015,Washington,NASS,FALSE
COLUMBUS/TOMAHAWK/ZEUS,1969,2016,Washington,NASS,TRUE
COLUMBUS/TOMAHAWK/ZEUS,2646,2017,Washington,NASS,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2482,2018,Washington,NASS,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2584,2019,Washington,HGA 273.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2176,2020,Washington,HGA 346.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2656,2021,Washington,HGA 405.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2256,2022,Washington,HGA 435.pdf,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2465,2023,Washington,NASS,FALSE
COLUMBUS/TOMAHAWK/ZEUS,2496,2024,Washington,NASS,FALSE
COMET,1970,2019,Idaho,HGA 273.pdf,FALSE
COMET,1740,2020,Idaho,HGA 346.pdf,FALSE
COMET,1663,2021,Idaho,HGA 405.pdf,FALSE
COMET,1863,2022,Idaho,HGA 435.pdf,FALSE
COMET,1877,2023,Idaho,NASS,FALSE
COMET,1780,2015,Washington,HGA 5.pdf,FALSE
COMET,949,2016,Washington,HGA 76.pdf,FALSE
COMET,1855,2017,Washington,HGA 105.pdf,FALSE
COMET,1750,2018,Washington,HGA 168.pdf,FALSE
COMET,1311,2019,Washington,HGA 273.pdf,FALSE
COMET,872,2020,Washington,HGA 346.pdf,FALSE
COMET,1632,2021,Washington,HGA 405.pdf,FALSE
COMET,1299,2022,Washington,HGA 435.pdf,FALSE
COMET,1857,2023,Washington,NASS,FALSE
COMET,1558,2024,Washington,NASS,FALSE
CRYSTAL,2186,2014,Idaho,HGA 6.pdf,FALSE
CRYSTAL,1678,2016,Idaho,HGA 76.pdf,TRUE
CRYSTAL,2084,2017,Idaho,HGA 105.pdf,FALSE
CRYSTAL,1927,2018,Idaho,HGA 168.pdf,FALSE
CRYSTAL,1971,2019,Idaho,HGA 273.pdf,FALSE
CRYSTAL,2011,2015,Oregon,HGA 5.pdf,FALSE
CRYSTAL,2216,2016,Oregon,HGA 76.pdf,FALSE
CRYSTAL,1772,2017,Oregon,HGA 105.pdf,FALSE
CRYSTAL,1819,2018,Oregon,HGA 168.pdf,FALSE
CRYSTAL,1943,2019,Oregon,HGA 273.pdf,FALSE
CRYSTAL,1816,2021,Oregon,HGA 405.pdf,FALSE
CRYSTAL,1739,2022,Oregon,HGA 435.pdf,FALSE
CRYSTAL,1422,2023,Oregon,NASS,TRUE
CRYSTAL,1432,2024,Oregon,NASS,TRUE
CRYSTAL,1184,2012,Washington,HGA 10.pdf,FALSE
CRYSTAL,1286,2013,Washington,HGA 9.pdf,FALSE
CRYSTAL,1366,2014,Washington,HGA 6.pdf,FALSE
CRYSTAL,1183,2015,Washington,HGA 5.pdf,FALSE
CRYSTAL,1475,2016,Washington,HGA 76.pdf,FALSE
CRYSTAL,2063,2017,Washington,HGA 105.pdf,FALSE
CRYSTAL,2357,2018,Washington,HGA 168.pdf,FALSE
CRYSTAL,1989,2019,Washington,HGA 273.pdf,FALSE
EKUANOT HBC 366,2740,2017,Washington,HGA 105.pdf,FALSE
EKUANOT HBC 366,2583,2018,Washington,HGA 168.pdf,FALSE
EKUANOT HBC 366,2483,2019,Washington,HGA 273.pdf,FALSE
EKUANOT HBC 366,2158,2020,Washington,HGA 346.pdf,FALSE
EKUANOT HBC 366,2608,2021,Washington,HGA 405.pdf,FALSE
EKUANOT HBC 366,2153,2022,Washington,HGA 435.pdf,FALSE
EKUANOT HBC 366,2335,2023,Washington,NASS,FALSE
EKUANOT HBC 366,2021,2024,Washington,NASS,FALSE
EL DORADO,971,2013,Idaho,HGA 9.pdf,FALSE
EL DORADO,1144,2014,Idaho,HGA 6.pdf,FALSE
EL DORADO,1125,2015,Idaho,HGA 5.pdf,FALSE
EL DORADO,1658,2016,Idaho,HGA 76.pdf,FALSE
EL DORADO,2163,2017,Idaho,HGA 105.pdf,FALSE
EL DORADO,1463,2018,Idaho,HGA 168.pdf,FALSE
EL DORADO,1352,2019,Idaho,HGA 273.pdf,FALSE
EL DORADO,1590,2020,Idaho,HGA 346.pdf,FALSE
EL DORADO,1778,2021,Idaho,HGA 405.pdf,FALSE
EL DORADO,1766,2022,Idaho,HGA 435.pdf,FALSE
EL DORADO,2256,2023,Idaho,NASS,FALSE
EL DORADO,1761,2013,Washington,HGA 9.pdf,FALSE
EL DORADO,2206,2014,Washington,HGA 6.pdf,FALSE
