Variety,Yield,Year,State,File
Centennial,,2007,Washington,15.pdf
Chelan,2364,2007,Washington,15.pdf
Chinook,1818,2007,Washington,15.pdf
Cluster,2030,2007,Washington,15.pdf
Columbus/Tomahawk,2533,2007,Washington,15.pdf
Galena,1776,2007,Washington,15.pdf
Glacier,1619,2007,Washington,15.pdf
Golding,1500,2007,Washington,15.pdf
Hallertau,763,2007,Washington,15.pdf
Millennium,2350,2007,Washington,15.pdf
Mt. Hood,1316,2007,Washington,15.pdf
Northern Brewer,,2007,Washington,15.pdf
Nugget,1909,2007,Washington,15.pdf
Perle,,2007,Washington,15.pdf
Sterling,,2007,Washington,15.pdf
Summit,1822,2007,Washington,15.pdf
Vanguard,1470,2007,Washington,15.pdf
Willamette,1318,2007,Washington,15.pdf
Palisade YCR 4,2519,2007,Washington,15.pdf
Warrior YCR 5,1903,2007,Washington,15.pdf
Zeus,2839,2007,Washington,15.pdf
Other,1355,2007,Washington,15.pdf
Cascade,,2006,Oregon,16.pdf
Glacier,,2006,Oregon,16.pdf
Golding,1744,2006,Oregon,16.pdf
Millennium,2884,2006,Oregon,16.pdf
Mt. Hood,2200,2006,Oregon,16.pdf
Nugget,2303,2006,Oregon,16.pdf
Perle,,2006,Oregon,16.pdf
Sterling,2672,2006,Oregon,16.pdf
Willamette,1459,2006,Oregon,16.pdf
Other Varieties,882,2006,Oregon,16.pdf
Ahtanum YCR 1,2110,2006,Washington,16.pdf
Cascade,1954,2006,Washington,16.pdf
Centennial,,2006,Washington,16.pdf
Chelan,2187,2006,Washington,16.pdf
Chinook,1871,2006,Washington,16.pdf
Cluster,2184,2006,Washington,16.pdf
Columbus/Tomahawk,2660,2006,Washington,16.pdf
Galena,1820,2006,Washington,16.pdf
Glacier,1441,2006,Washington,16.pdf
Golding,992,2006,Washington,16.pdf
Hallertau,812,2006,Washington,16.pdf
Millennium,2324,2006,Washington,16.pdf
Mt. Hood,1109,2006,Washington,16.pdf
Northern Brewer,,2006,Washington,16.pdf
Nugget,1841,2006,Washington,16.pdf
Perle,,2006,Washington,16.pdf
Sterling,1419,2006,Washington,16.pdf
Summit,1864,2006,Washington,16.pdf
Willamette,1222,2006,Washington,16.pdf
Palisade YCR 4,2998,2006,Washington,16.pdf
Warrior YCR 5,2159,2006,Washington,16.pdf
Zeus,2962,2006,Washington,16.pdf
Other,1775,2006,Washington,16.pdf
Apollo,1951,2018,Idaho,168.pdf
Bravo,2226,2018,Idaho,168.pdf
Calypso,2138,2018,Idaho,168.pdf
Cascade,1716,2018,Idaho,168.pdf
Centennial,,2018,Idaho,168.pdf
Chinook,1873,2018,Idaho,168.pdf
Citra HBC 394,1415,2018,Idaho,168.pdf
Cluster,2126,2018,Idaho,168.pdf
Crystal,1927,2018,Idaho,168.pdf
El Dorado,1463,2018,Idaho,168.pdf
Eureka!,2299,2018,Idaho,168.pdf
Galena,1715,2018,Idaho,168.pdf
Mosaic HBC 369,2333,2018,Idaho,168.pdf
Ahtanum YCR 1,1245,2018,Idaho,168.pdf
Super Galena,2493,2018,Idaho,168.pdf
Willamette,,2018,Idaho,168.pdf
Zeus,2764,2018,Idaho,168.pdf
Experimental,,2018,Idaho,168.pdf
Other Varieties,1845,2018,Idaho,168.pdf
Cascade,1623,2018,Oregon,168.pdf
Centennial,1277,2018,Oregon,168.pdf
Chinook,1674,2018,Oregon,168.pdf
Citra HBC 394,1600,2018,Oregon,168.pdf
Crystal,1819,2018,Oregon,168.pdf
Fuggle,1034,2018,Oregon,168.pdf
Golding,1160,2018,Oregon,168.pdf
Liberty,,2018,Oregon,168.pdf
Magnum,1284,2018,Oregon,168.pdf
Mosaic HBC 369,,2018,Oregon,168.pdf
Mt. Hood,1411,2018,Oregon,168.pdf
Nugget,1946,2018,Oregon,168.pdf
Perle,1093,2018,Oregon,168.pdf
Ahtanum YCR 1,1588,2018,Oregon,168.pdf
Sterling,1760,2018,Oregon,168.pdf
Super Galena,2216,2018,Oregon,168.pdf
Tettnanger,1027,2018,Oregon,168.pdf
Willamette,1484,2018,Oregon,168.pdf
Other Varieties,2068,2018,Oregon,168.pdf
Ahtanum YCR 1,2730,2018,Washington,168.pdf
Amarillo VGXP01,1868,2018,Washington,168.pdf
Apollo,2848,2018,Washington,168.pdf
Azacca ADHA-483,2491,2018,Washington,168.pdf
Bravo,2671,2018,Washington,168.pdf
Cascade,1972,2018,Washington,168.pdf
Cashmere,1519,2018,Washington,168.pdf
Centennial,1364,2018,Washington,168.pdf
Chinook,1875,2018,Washington,168.pdf
Citra HBC 394,1611,2018,Washington,168.pdf
Cluster,1813,2018,Washington,168.pdf
Columbus/Tomahawk,2482,2018,Washington,168.pdf
Comet,1750,2018,Washington,168.pdf
Crystal,2357,2018,Washington,168.pdf
Ekuanot HBC 366,2583,2018,Washington,168.pdf
El Dorado,1880,2018,Washington,168.pdf
Eureka!,2954,2018,Washington,168.pdf
Galena,2149,2018,Washington,168.pdf
Glacier,,2018,Washington,168.pdf
Golding,,2018,Washington,168.pdf
Jarrylo ADHA-881,,2018,Washington,168.pdf
Loral HBC 291,2349,2018,Washington,168.pdf
Magnum,,2018,Washington,168.pdf
Millennium,,2018,Washington,168.pdf
Mosaic HBC 369,2351,2018,Washington,168.pdf
Mt. Hood,1454,2018,Washington,168.pdf
Mt. Rainier,1899,2018,Washington,168.pdf
Northern Brewer,,2018,Washington,168.pdf
Nugget,1498,2018,Washington,168.pdf
Pahto HBC 682,2087,2018,Washington,168.pdf
Palisade YCR 4,2441,2018,Washington,168.pdf
Pekko ADHA-871,1889,2018,Washington,168.pdf
Ahtanum YCR 1,1642,2018,Washington,168.pdf
Sorachi Ace,1042,2018,Washington,168.pdf
Summit,1826,2018,Washington,168.pdf
Super Galena,3133,2018,Washington,168.pdf
Tahoma,2147,2018,Washington,168.pdf
Tettnanger,,2018,Washington,168.pdf
Vanguard,,2018,Washington,168.pdf
Warrior YCR 5,,2018,Washington,168.pdf
Willamette,1348,2018,Washington,168.pdf
Zeus,2619,2018,Washington,168.pdf
Experimental,1889,2018,Washington,168.pdf
Other Varieties,1896,2018,Washington,168.pdf
Cluster,,2005,Idaho,17.pdf
Galena,,2005,Idaho,17.pdf
Mt. Hood,,2005,Idaho,17.pdf
Nugget,,2005,Idaho,17.pdf
Willamette,,2005,Idaho,17.pdf
Zeus,,2005,Idaho,17.pdf
Other Varieties,,2005,Idaho,17.pdf
Cascade,1365,2005,Oregon,17.pdf
Glacier,1330,2005,Oregon,17.pdf
Golding,1017,2005,Oregon,17.pdf
Millennium,1876,2005,Oregon,17.pdf
Mt. Hood,1414,2005,Oregon,17.pdf
Nugget,2046,2005,Oregon,17.pdf
Perle,,2005,Oregon,17.pdf
Sterling,1451,2005,Oregon,17.pdf
Willamette,1385,2005,Oregon,17.pdf
Other Varieties,1048,2005,Oregon,17.pdf
Ahtanum YCR 1,758,2005,Washington,17.pdf
Cascade,2036,2005,Washington,17.pdf
Centennial,1375,2005,Washington,17.pdf
Chelan,2244,2005,Washington,17.pdf
Chinook,1844,2005,Washington,17.pdf
Cluster,1782,2005,Washington,17.pdf
Columbus/Tomahawk,2516,2005,Washington,17.pdf
Galena,1737,2005,Washington,17.pdf
Glacier,1063,2005,Washington,17.pdf
Golding,886,2005,Washington,17.pdf
Hallertau,967,2005,Washington,17.pdf
Horizon,,2005,Washington,17.pdf
Millennium,1908,2005,Washington,17.pdf
Mt. Hood,1267,2005,Washington,17.pdf
Northern Brewer,,2005,Washington,17.pdf
Nugget,1727,2005,Washington,17.pdf
Palisade YCR 4,2759,2005,Washington,17.pdf
Perle,,2005,Washington,17.pdf
Sterling,1527,2005,Washington,17.pdf
Tillicum,,2005,Washington,17.pdf
Willamette,1333,2005,Washington,17.pdf
Warrior YCR 5,1830,2005,Washington,17.pdf
Zeus,2255,2005,Washington,17.pdf
Other,1576,2005,Washington,17.pdf
Cluster,,2004,Idaho,18.pdf
Galena,,2004,Idaho,18.pdf
Mt. Hood,,2004,Idaho,18.pdf
Nugget,,2004,Idaho,18.pdf
Willamette,,2004,Idaho,18.pdf
Zeus,,2004,Idaho,18.pdf
Other Varieties,,2004,Idaho,18.pdf
Cascade,1393,2004,Oregon,18.pdf
Glacier,1521,2004,Oregon,18.pdf
Golding,1309,2004,Oregon,18.pdf
Liberty,,2004,Oregon,18.pdf
Millennium,2030,2004,Oregon,18.pdf
Mt. Hood,1620,2004,Oregon,18.pdf
Nugget,2229,2004,Oregon,18.pdf
Perle,1327,2004,Oregon,18.pdf
Sterling,1209,2004,Oregon,18.pdf
Willamette,1507,2004,Oregon,18.pdf
Other Varieties,1370,2004,Oregon,18.pdf
Cascade,2006,2004,Washington,18.pdf
Chelan,2482,2004,Washington,18.pdf
Chinook,1900,2004,Washington,18.pdf
Cluster,2034,2004,Washington,18.pdf
Columbus/Tomahawk,2557,2004,Washington,18.pdf
Galena,1860,2004,Washington,18.pdf
Golding,989,2004,Washington,18.pdf
Hallertau,1057,2004,Washington,18.pdf
Horizon,,2004,Washington,18.pdf
Magnum,,2004,Washington,18.pdf
Millennium,2339,2004,Washington,18.pdf
Mt. Hood,1387,2004,Washington,18.pdf
Northern Brewer,2191,2004,Washington,18.pdf
Nugget,2073,2004,Washington,18.pdf
Perle,1245,2004,Washington,18.pdf
Tettnanger,,2004,Washington,18.pdf
Tillicum,,2004,Washington,18.pdf
Vanguard,,2004,Washington,18.pdf
Willamette,1411,2004,Washington,18.pdf
Warrior YCR 5,2300,2004,Washington,18.pdf
Zeus,3125,2004,Washington,18.pdf
Other Alpha,,2004,Washington,18.pdf
Other Aroma,,2004,Washington,18.pdf
Other,1641,2004,Washington,18.pdf
Cluster,,2003,Idaho,19.pdf
Galena,,2003,Idaho,19.pdf
Mt. Hood,,2003,Idaho,19.pdf
Nugget,,2003,Idaho,19.pdf
Willamette,,2003,Idaho,19.pdf
Zeus,,2003,Idaho,19.pdf
Other Varieties,,2003,Idaho,19.pdf
Cascade,,2003,Oregon,19.pdf
Glacier,677,2003,Oregon,19.pdf
Golding,996,2003,Oregon,19.pdf
Liberty,,2003,Oregon,19.pdf
Millennium,,2003,Oregon,19.pdf
Mt. Hood,1569,2003,Oregon,19.pdf
Nugget,2169,2003,Oregon,19.pdf
Perle,1026,2003,Oregon,19.pdf
Sterling,2005,2003,Oregon,19.pdf
Willamette,1369,2003,Oregon,19.pdf
Other Varieties,1942,2003,Oregon,19.pdf
Cascade,1808,2003,Washington,19.pdf
Chelan,2545,2003,Washington,19.pdf
Chinook,1903,2003,Washington,19.pdf
Cluster,2003,2003,Washington,19.pdf
Columbus/Tomahawk,2745,2003,Washington,19.pdf
Galena,1914,2003,Washington,19.pdf
Golding,1118,2003,Washington,19.pdf
Hallertau,885,2003,Washington,19.pdf
Horizon,1430,2003,Washington,19.pdf
Magnum,,2003,Washington,19.pdf
Millennium,2267,2003,Washington,19.pdf
Mt. Hood,1475,2003,Washington,19.pdf
Northern Brewer,1755,2003,Washington,19.pdf
Nugget,1882,2003,Washington,19.pdf
Perle,919,2003,Washington,19.pdf
Tettnanger,,2003,Washington,19.pdf
Tillicum,2325,2003,Washington,19.pdf
Vanguard,,2003,Washington,19.pdf
Willamette,1332,2003,Washington,19.pdf
Warrior YCR 5,2126,2003,Washington,19.pdf
Zeus,2904,2003,Washington,19.pdf
Other Alpha,,2003,Washington,19.pdf
Other Aroma,,2003,Washington,19.pdf
Other,1436,2003,Washington,19.pdf
Cluster,,2002,Idaho,20.pdf
Galena,,2002,Idaho,20.pdf
Mt. Hood,,2002,Idaho,20.pdf
Nugget,,2002,Idaho,20.pdf
Willamette,,2002,Idaho,20.pdf
Zeus,,2002,Idaho,20.pdf
Other Varieties,,2002,Idaho,20.pdf
Cascade,1477,2002,Oregon,20.pdf
Fuggle,,2002,Oregon,20.pdf
Golding,,2002,Oregon,20.pdf
Liberty,1467,2002,Oregon,20.pdf
Millennium,1501,2002,Oregon,20.pdf
Mt. Hood,1729,2002,Oregon,20.pdf
Nugget,2032,2002,Oregon,20.pdf
Perle,1163,2002,Oregon,20.pdf
Santiam,,2002,Oregon,20.pdf
Sterling,1895,2002,Oregon,20.pdf
Willamette,1528,2002,Oregon,20.pdf
Other Varieties,1669,2002,Oregon,20.pdf
Cascade,1748,2002,Washington,20.pdf
Chelan,2211,2002,Washington,20.pdf
Chinook,1902,2002,Washington,20.pdf
Cluster,1996,2002,Washington,20.pdf
Columbus/Tomahawk,2876,2002,Washington,20.pdf
Galena,1905,2002,Washington,20.pdf
Golding,1188,2002,Washington,20.pdf
Hallertau,1193,2002,Washington,20.pdf
Horizon,1409,2002,Washington,20.pdf
Magnum,,2002,Washington,20.pdf
Millennium,2349,2002,Washington,20.pdf
Mt. Hood,1272,2002,Washington,20.pdf
Northern Brewer,,2002,Washington,20.pdf
Nugget,2095,2002,Washington,20.pdf
Perle,969,2002,Washington,20.pdf
Tettnanger,1277,2002,Washington,20.pdf
Tillicum,2075,2002,Washington,20.pdf
Vanguard,,2002,Washington,20.pdf
Willamette,1381,2002,Washington,20.pdf
Warrior YCR 5,2125,2002,Washington,20.pdf
Zeus,2993,2002,Washington,20.pdf
Other Alpha,1619,2002,Washington,20.pdf
Other Aroma,1340,2002,Washington,20.pdf
Other,1610,2002,Washington,20.pdf
Cluster,1553,2001,Idaho,21.pdf
Galena,1492,2001,Idaho,21.pdf
Horizon,,2001,Idaho,21.pdf
Mt. Hood,1200,2001,Idaho,21.pdf
Nugget,1500,2001,Idaho,21.pdf
Willamette,1077,2001,Idaho,21.pdf
Zeus,,2001,Idaho,21.pdf
Other Varieties,1111,2001,Idaho,21.pdf
Fuggle,,2001,Oregon,21.pdf
Golding,,2001,Oregon,21.pdf
Millennium,2570,2001,Oregon,21.pdf
Mt. Hood,1970,2001,Oregon,21.pdf
Nugget,2445,2001,Oregon,21.pdf
Perle,1355,2001,Oregon,21.pdf
Santiam,,2001,Oregon,21.pdf
Sterling,2065,2001,Oregon,21.pdf
Willamette,1423,2001,Oregon,21.pdf
Other Varieties,1740,2001,Oregon,21.pdf
Cascade,1785,2001,Washington,21.pdf
Chelan,1809,2001,Washington,21.pdf
Chinook,1717,2001,Washington,21.pdf
Cluster,1958,2001,Washington,21.pdf
Columbus/Tomahawk,2493,2001,Washington,21.pdf
Galena,1679,2001,Washington,21.pdf
Golding,1231,2001,Washington,21.pdf
Hallertau,968,2001,Washington,21.pdf
Horizon,1224,2001,Washington,21.pdf
Magnum,1424,2001,Washington,21.pdf
Millennium,2037,2001,Washington,21.pdf
Mt. Hood,1130,2001,Washington,21.pdf
Nugget,1968,2001,Washington,21.pdf
Perle,1083,2001,Washington,21.pdf
Tettnanger,1058,2001,Washington,21.pdf
Tillicum,1836,2001,Washington,21.pdf
Vanguard,1372,2001,Washington,21.pdf
Willamette,1309,2001,Washington,21.pdf
Warrior YCR 5,1949,2001,Washington,21.pdf
Zeus,2669,2001,Washington,21.pdf
High Alpha,2072,2001,Washington,21.pdf
Alpha,1589,2001,Washington,21.pdf
Aroma,1378,2001,Washington,21.pdf
Other,1224,2001,Washington,21.pdf
Chinook,2000,2000,Idaho,22.pdf
Cluster,1943,2000,Idaho,22.pdf
Galena,1815,2000,Idaho,22.pdf
Horizon,,2000,Idaho,22.pdf
Mt. Hood,2000,2000,Idaho,22.pdf
Nugget,2000,2000,Idaho,22.pdf
Willamette,1534,2000,Idaho,22.pdf
Zeus,,2000,Idaho,22.pdf
